Sex,Age,Height,Weight,NOC,Year,Season,City,Medal,Event
F,26,,,NOR,2020,Summer,Tokyo,,Women's Cycling Road
M,27,1.65,,ESP,2020,Summer,Tokyo,,Men's Artistic Gymnastics
M,25,1.98,,ITA,2020,Summer,Tokyo,,Rowing Men's Lightweight Double Sculls
M,25,2,,ESP,2020,Summer,Tokyo,,Basketball Men's Basketball
F,31,1.92,,ESP,2020,Summer,Tokyo,,Basketball Women's Basketball
M,36,1.83,,FRA,2020,Summer,Tokyo,Gold,Handball Men's Handball
M,24,1.79,,CHI,2020,Summer,Tokyo,,Rowing Men's Lightweight Double Sculls
M,22,,,SUD,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
M,27,1.87,,ITA,2020,Summer,Tokyo,,Rowing Men's Lightweight Double Sculls
F,30,,,IRI,2020,Summer,Tokyo,,Women's Karate
M,24,,,AZE,2020,Summer,Tokyo,,"Wrestling Men's Light-Heavyweight, Greco-Roman"
F,28,1.77,,NED,2020,Summer,Tokyo,,Handball Women's Handball
F,23,1.6,,AUS,2020,Summer,Tokyo,,Rhythmic Gymnastics Women's Group
F,35,1.91,,USA,2020,Summer,Tokyo,Silver,Women's Baseball/Softball
M,24,,,QAT,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,27,,,SUD,2020,Summer,Tokyo,,Judo Men's Extra-Lightweight
F,31,,,EGY,2020,Summer,Tokyo,,"Shooting Women's Air Rifle, 10 metres"
M,40,,,EGY,2020,Summer,Tokyo,,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
M,30,,,EGY,2020,Summer,Tokyo,,Judo Men's Extra-Lightweight
M,21,,,EGY,2020,Summer,Tokyo,,Men's Karate
F,28,,,EGY,2020,Summer,Tokyo,,Table Tennis Women's Singles
F,21,,,EGY,2020,Summer,Tokyo,Gold,Women's Karate
M,26,,,EGY,2020,Summer,Tokyo,,Judo Men's Extra-Lightweight
M,27,,,EGY,2020,Summer,Tokyo,,"Wrestling Men's Light-Heavyweight, Greco-Roman"
M,31,,,EGY,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,23,1.77,,EGY,2020,Summer,Tokyo,,Football Men's Football
F,27,,,EGY,2020,Summer,Tokyo,,Taekwondo Women's Flyweight
M,24,,,ITA,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,31,,,BEL,2020,Summer,Tokyo,Bronze,Athletics Men's Shot Put
M,43,,,USA,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,26,1.65,,MAS,2020,Summer,Tokyo,,Women's Artistic Gymnastics
F,20,,,SGP,2020,Summer,Tokyo,,"Fencing Women's epee, Individual"
F,21,,,MDV,2020,Summer,Tokyo,,Badminton Women's Singles
M,21,1.71,,KSA,2020,Summer,Tokyo,,Football Men's Football
M,25,,,GER,2020,Summer,Tokyo,,Boxing Men's Light-Welterweight
M,22,,,UZB,2020,Summer,Tokyo,,"Wrestling Men's Light-Heavyweight, Greco-Roman"
