Sex,NOC,Height,Weight,Age,Season,City,Year,Event,Medal
M,ARM,0.0,0.0,33.0,Summer,Paris,2024,"Wrestling ""Mens Greco-Roman 97kg""",Silver
M,ARM,0.0,0.0,25.0,Summer,Paris,2024,"Wrestling ""Mens Greco-Roman 77kg""",Bronze
M,ARM,0.0,0.0,28.0,Summer,Paris,2024,"Wrestling ""Mens Greco-Roman 67kg""",
M,ARM,0.0,0.0,25.0,Summer,Paris,2024,"Wrestling ""Mens Freestyle 57kg""",
M,ARM,0.0,0.0,25.0,Summer,Paris,2024,"Wrestling ""Mens Freestyle 65kg""",
F,COL,162.0,0.0,31.0,Summer,Paris,2024,"Athletics ""Womens 20km Race Walk"", Marathon Race Walk Relay Mixed",
M,JAM,0.0,0.0,35.0,Summer,Paris,2024,Judo Men -60 kg,
F,GAM,161.0,0.0,29.0,Summer,Paris,2024,"Athletics ""Womens 100m"", ""Womens 200m""",
M,GAM,178.0,0.0,28.0,Summer,Paris,2024,"Athletics ""Mens 100m""",
F,MEX,0.0,0.0,30.0,Summer,Paris,2024,"Triathlon ""Womens Individual""",
F,MEX,0.0,0.0,27.0,Summer,Paris,2024,"Triathlon ""Womens Individual""",
M,MEX,0.0,0.0,37.0,Summer,Paris,2024,"Triathlon ""Mens Individual""",
M,COM,183.0,0.0,27.0,Summer,Paris,2024,"Athletics ""Mens 100m""",
F,COM,0.0,0.0,17.0,Summer,Paris,2024,"Swimming ""Womens 50m Freestyle""",
F,MEX,0.0,0.0,34.0,Summer,Paris,2024,"Artistic Swimming Team, Duet",
F,MEX,0.0,0.0,31.0,Summer,Paris,2024,"Artistic Swimming Team, Duet",
F,MEX,0.0,0.0,30.0,Summer,Paris,2024,Artistic Swimming Team,
F,MEX,0.0,0.0,27.0,Summer,Paris,2024,Artistic Swimming Team,
F,MEX,0.0,0.0,22.0,Summer,Paris,2024,Artistic Swimming Team,
F,MEX,0.0,0.0,24.0,Summer,Paris,2024,Artistic Swimming Team,
F,MEX,0.0,0.0,21.0,Summer,Paris,2024,Artistic Swimming Team,
F,MEX,0.0,0.0,30.0,Summer,Paris,2024,Artistic Swimming Team,
F,MEX,0.0,0.0,24.0,Summer,Paris,2024,Artistic Swimming Team,
M,IRQ,0.0,0.0,28.0,Summer,Paris,2024,Judo Men -81 kg,
M,IRQ,0.0,0.0,20.0,Summer,Paris,2024,"Weightlifting ""Mens +102kg""",
M,DJI,170.0,0.0,27.0,Summer,Paris,2024,"Athletics ""Mens 5000m""",
M,DJI,170.0,0.0,27.0,Summer,Paris,2024,"Athletics ""Mens Marathon""",
M,DJI,170.0,0.0,28.0,Summer,Paris,2024,"Athletics ""Mens 5000m""",
F,DJI,160.0,0.0,25.0,Summer,Paris,2024,"Athletics ""Womens 5000m""",
M,DJI,0.0,0.0,20.0,Summer,Paris,2024,"Swimming ""Mens 50m Freestyle""",
M,COM,0.0,0.0,27.0,Summer,Paris,2024,"Canoe Slalom ""Mens Kayak Single"", ""Mens Kayak Cross""",
M,MEX,178.0,0.0,23.0,Summer,Paris,2024,"Boxing ""Mens 63.5kg""",
M,MEX,180.0,0.0,22.0,Summer,Paris,2024,"Boxing ""Mens 71kg""",Silver
F,MEX,158.0,0.0,25.0,Summer,Paris,2024,"Athletics ""Womens 20km Race Walk"", Marathon Race Walk Relay Mixed",
M,MEX,190.0,0.0,27.0,Summer,Paris,2024,"Athletics ""Mens 800m""",
M,MEX,190.0,0.0,24.0,Summer,Paris,2024,"Athletics ""Mens High Jump""",
M,MEX,185.0,0.0,29.0,Summer,Paris,2024,"Athletics ""Mens Shot Put""",
M,MEX,185.0,0.0,30.0,Summer,Paris,2024,"Athletics ""Mens Hammer Throw""",
M,MEX,175.0,0.0,28.0,Summer,Paris,2024,"Athletics ""Mens 20km Race Walk""",
F,MEX,169.0,0.0,27.0,Summer,Paris,2024,"Athletics ""Womens 400m""",
F,MEX,162.0,0.0,33.0,Summer,Paris,2024,"Athletics ""Womens 5000m""",
F,MEX,160.0,0.0,27.0,Summer,Paris,2024,"Athletics ""Womens 5000m""",
F,MEX,154.0,0.0,29.0,Summer,Paris,2024,"Athletics ""Womens Marathon""",
M,MEX,168.0,0.0,32.0,Summer,Paris,2024,Athletics Marathon Race Walk Relay Mixed,
F,MEX,0.0,0.0,31.0,Summer,Paris,2024,"Sailing ""Womens Dinghy""",
F,MEX,0.0,0.0,25.0,Summer,Paris,2024,"Sailing ""Womens Windsurfing""",
F,MEX,0.0,0.0,30.0,Summer,Paris,2024,"Rowing ""Womens Single Sculls""",
M,MEX,0.0,0.0,27.0,Summer,Paris,2024,"Rowing ""Lightweight Mens Double Sculls""",
M,MEX,0.0,0.0,32.0,Summer,Paris,2024,"Rowing ""Lightweight Mens Double Sculls""",
F,COL,0.0,0.0,23.0,Summer,Paris,2024,"Artistic Gymnastics Women, ""Womens All-Around"", ""Womens Balance Beam"", ""Womens Floor Exercise"", ""Womens Uneven Bars"", ""Womens Vault""",
M,MEX,0.0,0.0,22.0,Summer,Paris,2024,"Diving ""Mens 10m Platform"", ""Mens Synchronised 10m Platform""",
M,MEX,0.0,0.0,23.0,Summer,Paris,2024,"Diving ""Mens 10m Platform"", ""Mens Synchronised 10m Platform""",
F,MEX,0.0,0.0,27.0,Summer,Paris,2024,"Diving ""Womens 10m Platform"", ""Womens Synchronised 10m Platform""",
F,MEX,0.0,0.0,24.0,Summer,Paris,2024,"Diving ""Womens 10m Platform"", ""Womens Synchronised 10m Platform""",
M,MEX,0.0,0.0,20.0,Summer,Paris,2024,"Diving ""Mens 3m Springboard"", ""Mens Synchronised 3m Springboard""",Bronze
M,MEX,0.0,0.0,28.0,Summer,Paris,2024,"Equestrian Jumping Individual, Jumping Team",
M,MEX,0.0,0.0,56.0,Summer,Paris,2024,"Equestrian Jumping Individual, Jumping Team",
M,MEX,0.0,0.0,30.0,Summer,Paris,2024,"Swimming ""Mens 100m Breaststroke"", ""Mens 200m Breaststroke""",
F,MEX,0.0,0.0,30.0,Summer,Paris,2024,"Artistic Gymnastics Women, ""Womens All-Around"", ""Womens Balance Beam"", ""Womens Floor Exercise"", ""Womens Uneven Bars"", ""Womens Vault""",
F,MEX,0.0,0.0,28.0,Summer,Paris,2024,"Artistic Gymnastics Women, ""Womens All-Around"", ""Womens Balance Beam"", ""Womens Floor Exercise"", ""Womens Uneven Bars"", ""Womens Vault""",
F,MEX,0.0,0.0,20.0,Summer,Paris,2024,Rhythmic Gymnastics Group All-Around,
F,MEX,0.0,0.0,20.0,Summer,Paris,2024,Rhythmic Gymnastics Group All-Around,
F,MEX,0.0,0.0,22.0,Summer,Paris,2024,Rhythmic Gymnastics Group All-Around,
F,MEX,0.0,0.0,20.0,Summer,Paris,2024,Rhythmic Gymnastics Group All-Around,
F,MEX,0.0,0.0,17.0,Summer,Paris,2024,Rhythmic Gymnastics Group All-Around,
M,MEX,0.0,0.0,26.0,Summer,Paris,2024,"Modern Pentathlon ""Mens Individual""",
M,MEX,0.0,0.0,27.0,Summer,Paris,2024,"Modern Pentathlon ""Mens Individual""",
F,MEX,0.0,0.0,31.0,Summer,Paris,2024,"Modern Pentathlon ""Womens Individual""",
M,MEX,0.0,0.0,27.0,Summer,Paris,2024,Taekwondo Men +80kg,
F,MEX,0.0,0.0,25.0,Summer,Paris,2024,Taekwondo Women -49kg,
M,MEX,0.0,0.0,22.0,Summer,Paris,2024,Surfing Men,
M,UAE,0.0,0.0,26.0,Summer,Paris,2024,Judo Men -90 kg,
M,UAE,0.0,0.0,25.0,Summer,Paris,2024,Judo Men -100 kg,
M,UAE,0.0,0.0,23.0,Summer,Paris,2024,Judo Men +100 kg,
M,UAE,0.0,0.0,34.0,Summer,Paris,2024,Judo Men -81 kg,
F,UAE,0.0,0.0,26.0,Summer,Paris,2024,Judo Women -52 kg,
M,DJI,0.0,0.0,26.0,Summer,Paris,2024,Judo Men -73 kg,
F,UAE,0.0,0.0,23.0,Summer,Paris,2024,"Cycling Road ""Womens Road Race""",
F,MEX,0.0,0.0,30.0,Summer,Paris,2024,"Archery ""Womens Individual"", ""Womens Team"", Mixed Team",
F,MEX,0.0,0.0,18.0,Summer,Paris,2024,"Archery ""Womens Individual"", ""Womens Team""",
M,MEX,0.0,0.0,20.0,Summer,Paris,2024,"Archery ""Mens Individual"", ""Mens Team"", Mixed Team",
F,MEX,0.0,0.0,32.0,Summer,Paris,2024,"Cycling Road ""Womens Road Race""",
M,MEX,0.0,0.0,24.0,Summer,Paris,2024,"Shooting 10m Air Rifle Men, 10m Air Rifle Mixed Team",
F,MEX,0.0,0.0,28.0,Summer,Paris,2024,Shooting Skeet Women,
F,MEX,0.0,0.0,40.0,Summer,Paris,2024,"Shooting 10m Air Pistol Women, 25m Pistol Women",
M,MEX,0.0,0.0,25.0,Summer,Paris,2024,"Shooting 10m Air Rifle Men, 50m Rifle 3 Positions Men",
M,MEX,0.0,0.0,25.0,Summer,Paris,2024,"Triathlon ""Mens Individual""",
F,MEX,0.0,0.0,28.0,Summer,Paris,2024,"Canoe Slalom ""Womens Kayak Single"", ""Womens Kayak Cross""",
F,MEX,0.0,0.0,25.0,Summer,Paris,2024,"Canoe Sprint ""Womens Kayak Single 500m"", ""Womens Kayak Double 500m""",
F,MEX,0.0,0.0,31.0,Summer,Paris,2024,"Canoe Sprint ""Womens Kayak Single 500m"", ""Womens Kayak Double 500m""",
F,COL,171.0,0.0,21.0,Summer,Paris,2024,"Athletics ""Womens Long Jump""",
M,COL,183.0,0.0,20.0,Summer,Paris,2024,"Athletics ""Mens 100m""",
F,COL,175.0,0.0,33.0,Summer,Paris,2024,"Athletics ""Womens Javelin Throw""",
F,COL,158.0,0.0,35.0,Summer,Paris,2024,"Athletics ""Womens Marathon""",
F,COL,0.0,0.0,24.0,Summer,Paris,2024,"Wrestling ""Womens Freestyle 76kg""",Bronze
F,COL,165.0,0.0,24.0,Summer,Paris,2024,"Boxing ""Womens 60kg""",
F,COL,164.0,0.0,22.0,Summer,Paris,2024,"Boxing ""Womens 57kg""",
M,COL,0.0,0.0,30.0,Summer,Paris,2024,"Sailing ""Mens Kite""",
M,IRI,0.0,0.0,22.0,Summer,Paris,2024,"Swimming ""Mens 100m Freestyle""",
F,MAW,168.0,0.0,27.0,Summer,Paris,2024,"Athletics ""Womens 100m""",
M,UAE,0.0,0.0,21.0,Summer,Paris,2024,"Equestrian Jumping Individual, Jumping Team",
M,ARG,0.0,0.0,24.0,Summer,Paris,2024,"Modern Pentathlon ""Mens Individual""",
M,IRQ,191.0,0.0,20.0,Summer,Paris,2024,Football Men,
M,IRQ,182.0,0.0,20.0,Summer,Paris,2024,Football Men,
M,IRQ,165.0,0.0,23.0,Summer,Paris,2024,Football Men,
M,IRQ,170.0,0.0,23.0,Summer,Paris,2024,Football Men,
M,SGP,0.0,0.0,18.0,Summer,Paris,2024,"Sailing ""Mens Kite""",Bronze
M,SGP,0.0,0.0,27.0,Summer,Paris,2024,"Sailing ""Mens Dinghy""",
F,SGP,0.0,0.0,21.0,Summer,Paris,2024,"Swimming ""Womens 100m Breaststroke"", ""Womens 200m Breaststroke"", ""Womens 4 x 100m Medley Relay""",
M,SGP,0.0,0.0,22.0,Summer,Paris,2024,"Swimming ""Mens 100m Freestyle"", ""Mens 50m Freestyle""",
F,SGP,164.0,0.0,28.0,Summer,Paris,2024,"Athletics ""Womens 100m"", ""Womens 200m""",
M,IRQ,187.0,0.0,23.0,Summer,Paris,2024,Football Men,
M,IRQ,182.0,0.0,22.0,Summer,Paris,2024,Football Men,
